case_uuid,violation_uuid,state_name,citation_sequence,employer_name,employer_dba_name,employer_city,violation_category,date_opened,date_paid,date_closed,amount_claimed,amount_assessed,amount_paid
a34bcc5a-24d3-4e3a-b383-b6c7976f1e3a,865482e6-299f-4889-9226-6443b9d33b40,Indiana,1,Noblesville American Legion,,,,2010-01-12 00:00:00,,,0.0,,
fb4a0493-2bb3-4e9a-ab91-dee7748da884,61d9f6c8-3ac4-44fc-a6a2-b1a87a1a1239,Indiana,1,Vision Valet,,,,2010-01-12 00:00:00,,,345.0,,
22ae4070-e6e4-4d2f-abd2-a764b474e029,d83389d3-f3f7-4f82-ba37-ba05c8e2605c,Indiana,1,Kindney & Hypertension Consultant,,,,2010-01-11 00:00:00,,,1798.07,,
f616b8a2-9c4a-4fd7-8c38-2b5d3f6d60e8,e69b325c-2598-4a40-8fde-a04e7c9c7da8,Indiana,1,Joey's Seafood & Grill,,,,2010-01-13 00:00:00,2010-01-26,,82.5,,82.5
9c253a75-c100-4a76-9262-c2b5b254867b,5c15ede0-ca67-4f17-8660-620b4ff80b02,Indiana,1,Greenworld Enviroment Mgmt,,,,2010-01-14 00:00:00,,,1423.96,,
ffa3ef3a-ad59-43f6-84f7-cdf6d5122cf9,e32596c7-b6e5-4d65-b921-5284895ee69c,Indiana,1,Cook's Towing,,,,2010-01-13 00:00:00,,,4625.0,,
9bccdf38-5f69-4815-8133-249690c1155c,f1c9930c-4758-4da1-bd61-e35e7edcc0a2,Indiana,1,Holiday Inn Express,,,,2010-01-14 00:00:00,,,370.0,,
8c7de63c-3517-4860-9e8b-00dad57e093c,43037304-df63-44cd-a745-525e9c3c9f15,Indiana,1,Taylor Mortuary Services,,,,2010-01-14 00:00:00,,,467.5,,
481af020-f348-4574-bc80-823099663907,a2eae69d-3249-4f5a-a73b-eb60b1727a9e,Indiana,1,The Store Café/Louie's Place,,,,2010-01-14 00:00:00,,,252.6,,
ff7e169f-871b-447b-b86a-cbc1322dd228,c4e90b37-b030-4a29-8a93-26286f92d418,Indiana,1,"Specialty Staff, Inc.",,,,2010-01-14 00:00:00,2010-01-14,,614.53,614.53,614.53
